Query ID,Customer Query,Category,
Q001,My refund has still not been processed after several days.,Refund Issues,
Q002,The order status shows delivered,but I did not receive the package.,Delivery Issues
Q003,I am unable to log into my account even after resetting the password.,Account/Login Problems,
Q004,The payment was deducted twice for the same transaction.,Payment Issues,
Q005,OTP is not being received on my registered mobile number.,Technical Problems,
Q006,The product received is different from the images shown online.,Product Quality,
Q007,The application keeps crashing during checkout.,Technical Problems,
Q008,My subscription was renewed automatically without permission.,Subscription Issues,
Q009,The delivery date keeps changing repeatedly.,Delivery Issues,
Q010,Customer support is not responding to my complaint.,Customer Support,
Q011,The coupon code is showing invalid even though it is active.,Offer/Coupon Issues,
Q012,The item arrived damaged and replacement is delayed.,Product Quality,
Q013,My account was blocked without explanation.,Account/Login Problems,
Q014,The tracking information is not updating.,Delivery Issues,
Q015,The return pickup has not been scheduled yet.,Refund Issues,
Q016,The invoice downloaded from the portal is incorrect.,Billing Issues,
Q017,The service request has been pending for too long.,Customer Support,
Q018,The app is very slow after the latest update.,Technical Problems,
Q019,I was charged but the order was never confirmed.,Payment Issues,
Q020,The cancellation request is not reflecting in the system.,Refund Issues,
Q021,Unable to update my registered email address.,Account/Login Problems,
Q022,The website is not loading properly on mobile devices.,Technical Problems,
Q023,I received an incomplete order.,Delivery Issues,
Q024,The support ticket was closed without resolution.,Customer Support,
Q025,Cashback has not been credited to my account.,Payment Issues,
Q026,The replacement request is taking too much time.,Refund Issues,
Q027,The search feature is not showing relevant results.,Technical Problems,
Q028,I accidentally placed the wrong order and cannot modify it.,Order Management,
Q029,My saved payment methods disappeared from the account.,Payment Issues,
Q030,Notifications are not being received from the application.,Technical Problems,
